id,name,address,city,postal_code,region_id,facility_type,telephone,email,website,cost_estimate,quality_score,data_source,attribution,cardiology_rating,orthopedics_rating,oncology_rating,neurology_rating,surgery_rating,urology_rating,pediatrics_rating,gynecology_rating,strengths_summary,latitude,longitude,geocoded
1871,Ospedale Niguarda,Piazza Ospedale Maggiore 3,Milano,,381,Ospedale Pubblico,02 64441,info@ospedaleniguarda.it,,126.85,4.9,Lombardia Open Data,Regione Lombardia - Elenco delle strutture sanitarie accreditate,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,Strong in cardiology.,45.5105519,9.1883054,True
1877,Ospedale San Carlo Borromeo,Via Pio II 3,Milano,,381,Ospedale Pubblico,02 40221,urp@asst-santipaolocarlo.it,,172.53,4.2,Lombardia Open Data,Regione Lombardia - Elenco delle strutture sanitarie accreditate,,,,,,,,,,45.468576,9.1144907,True
1879,Policlinico San Donato,Piazza Edmondo Malan 2,San Donato Milanese,,381,IRCCS Privato,02 52771,info.psd@grupposandonato.it,,,3.1,Lombardia Open Data,Regione Lombardia - Elenco delle strutture sanitarie accreditate,,,,,,,,,,45.410955200000004,9.277692330207039,True
1876,Ospedale San Paolo,Via Antonio di Rudin 8,Milano,,381,Ospedale Pubblico,02 81841,urp@asst-santipaolocarlo.it,,,5.0,Lombardia Open Data,Regione Lombardia - Elenco delle strutture sanitarie accreditate,,,,,,,,,,45.45493825564572,9.23069264290593,True
1887,Policlinico Paolo Giaccone,Via del Vespro 129,Palermo,,382,Policlinico Universitario,091 655 1111,,,116.18,2.6,Sicilia Open Data,Regione Sicilia - Strutture sanitarie,,,,,,,,,,38.1060834,13.359959569229918,True
1886,Ospedale Civico Di Cristina Benfratelli,Piazza Nicola Leotta 4,Palermo,,382,Ospedale Pubblico,091 666 1111,,,,2.7,Sicilia Open Data,Regione Sicilia - Strutture sanitarie,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,,38.073681883437196,13.392347292437805,True
1892,Ospedale Cannizzaro,Via Messina 829,Catania,,382,Ospedale Pubblico,095 726 1111,,,173.33,2.6,Sicilia Open Data,Regione Sicilia - Strutture sanitarie,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,,37.5410119,15.1205158,True
1872,Istituto Nazionale dei Tumori,Via Venezian 1,Milano,,381,IRCCS Pubblico,02 23901,urp@istitutotumori.mi.it,,85.75,2.6,Lombardia Open Data,Regione Lombardia - Elenco delle strutture sanitarie accreditate,,,,,,,,,,45.474386,9.2321797,True
1873,Ospedale San Raffaele,Via Olgettina 60,Milano,,381,IRCCS Privato,02 26431,info@hsr.it,,70.79,4.6,Lombardia Open Data,Regione Lombardia - Elenco delle strutture sanitarie accreditate,,,,,,,,,,45.51230991913055,9.267018517976332,True
1874,Ospedale Maggiore Policlinico,Via Francesco Sforza 35,Milano,,381,IRCCS Pubblico,02 55031,info@policlinico.mi.it,,97.73,4.9,Lombardia Open Data,Regione Lombardia - Elenco delle strutture sanitarie accreditate,4.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,15th worldwide in obstetrics & gynecology​,45.4628649109126,9.198402116633526,True
