id,name,address,city,postal_code,region,facility_type,telephone,email,website,cost_estimate,quality_score,cardiology_rating,orthopedics_rating,oncology_rating,neurology_rating,surgery_rating,urology_rating,pediatrics_rating,gynecology_rating,strengths_summary,data_source,attribution
1860,Ospedale San Camillo-Forlanini,Circonvallazione Gianicolense 87,Roma,,Lazio,Ospedale Pubblico,06 58701,,,187.74,3.3,,,,,,,,,,Salute Lazio,Regione Lazio - Strutture sanitarie
1862,Ospedale Sant'Eugenio,Piazzale dell'Umanesimo 10,Roma,,Lazio,Ospedale Pubblico,06 51001,,,165.82,4.8,,,,,,,,,,Salute Lazio,Regione Lazio - Strutture sanitarie
1863,Ospedale San Filippo Neri,Via Giovanni Martinotti 20,Roma,,Lazio,Ospedale Pubblico,06 33061,,,,4.7,,,,,,,,,,Salute Lazio,Regione Lazio - Strutture sanitarie
1864,Ospedale Sandro Pertini,Via dei Monti Tiburtini 385,Roma,,Lazio,Ospedale Pubblico,06 41431,,,232.03,4.2,,,,,,,,,,Salute Lazio,Regione Lazio - Strutture sanitarie
1865,Ospedale Regina Apostolorum,Via San Francesco 50,Albano Laziale,,Lazio,Ospedale Privato Convenzionato,06 932981,,,256.5,4.6,,,,,,,,,,Salute Lazio,Regione Lazio - Strutture sanitarie
1866,Ospedale Sant'Andrea,Via di Grottarossa 1035,Roma,,Lazio,Ospedale Universitario,06 33771,,,,4.4,,,,,,,,,,Salute Lazio,Regione Lazio - Strutture sanitarie
1867,Ospedale Pediatrico Bambino Gesu,Piazza Sant'Onofrio 4,Roma,,Lazio,Ospedale Pediatrico,06 68591,,,184.29,3.4,,,,,,,,,,Salute Lazio,Regione Lazio - Strutture sanitarie
1868,IDI - Istituto Dermopatico dell'Immacolata,Via dei Monti di Creta 104,Roma,,Lazio,Istituto Dermatologico,06 66461,,,157.84,4.1,,,,,,,,,,Salute Lazio,Regione Lazio - Strutture sanitarie
1869,Ospedale Spallanzani,Via Portuense 292,Roma,,Lazio,Istituto Specializzato Malattie Infettive,06 55170,,,175.29,4.2,,,,,,,,,,Salute Lazio,Regione Lazio - Strutture sanitarie
1870,Campus Bio-Medico,Via lvaro del Portillo 200,Roma,,Lazio,Policlinico Universitario,06 225411,,,196.56,3.5,,,,,,,,,,Salute Lazio,Regione Lazio - Strutture sanitarie
1871,Ospedale Niguarda,Piazza Ospedale Maggiore 3,Milano,,Lombardia,Ospedale Pubblico,02 64441,info@ospedaleniguarda.it,,126.85,4.9,,,,,,,,,,Lombardia Open Data,Regione Lombardia - Elenco delle strutture sanitarie accreditate
1872,Istituto Nazionale dei Tumori,Via Venezian 1,Milano,,Lombardia,IRCCS Pubblico,02 23901,urp@istitutotumori.mi.it,,85.75,2.6,,,,,,,,,,Lombardia Open Data,Regione Lombardia - Elenco delle strutture sanitarie accreditate
1873,Ospedale San Raffaele,Via Olgettina 60,Milano,,Lombardia,IRCCS Privato,02 26431,info@hsr.it,,70.79,4.6,,,,,,,,,,Lombardia Open Data,Regione Lombardia - Elenco delle strutture sanitarie accreditate
1874,Ospedale Maggiore Policlinico,Via Francesco Sforza 35,Milano,,Lombardia,IRCCS Pubblico,02 55031,info@policlinico.mi.it,,97.73,4.9,,,,,,,,,,Lombardia Open Data,Regione Lombardia - Elenco delle strutture sanitarie accreditate
1875,Humanitas Research Hospital,Via Manzoni 56,Rozzano,,Lombardia,IRCCS Privato,02 82241,info@humanitas.it,,,4.7,,,,,,,,,,Lombardia Open Data,Regione Lombardia - Elenco delle strutture sanitarie accreditate
1876,Ospedale San Paolo,Via Antonio di Rudin 8,Milano,,Lombardia,Ospedale Pubblico,02 81841,urp@asst-santipaolocarlo.it,,,5.0,,,,,,,,,,Lombardia Open Data,Regione Lombardia - Elenco delle strutture sanitarie accreditate
1877,Ospedale San Carlo Borromeo,Via Pio II 3,Milano,,Lombardia,Ospedale Pubblico,02 40221,urp@asst-santipaolocarlo.it,,172.53,4.2,,,,,,,,,,Lombardia Open Data,Regione Lombardia - Elenco delle strutture sanitarie accreditate
1878,Istituto Ortopedico Galeazzi,Via Riccardo Galeazzi 4,Milano,,Lombardia,IRCCS Privato,02 6621,info.iog@grupposandonato.it,,294.93,4.8,,,,,,,,,,Lombardia Open Data,Regione Lombardia - Elenco delle strutture sanitarie accreditate
1879,Policlinico San Donato,Piazza Edmondo Malan 2,San Donato Milanese,,Lombardia,IRCCS Privato,02 52771,info.psd@grupposandonato.it,,,3.1,,,,,,,,,,Lombardia Open Data,Regione Lombardia - Elenco delle strutture sanitarie accreditate
1880,Ospedale Luigi Sacco,Via Giovanni Battista Grassi 74,Milano,,Lombardia,Ospedale Pubblico,02 39041,urp@asst-fbf-sacco.it,,68.63,3.8,,,,,,,,,,Lombardia Open Data,Regione Lombardia - Elenco delle strutture sanitarie accreditate
1881,Ospedale Fatebenefratelli,Piazzale Principessa Clotilde 3,Milano,,Lombardia,Ospedale Privato,02 63631,urp@asst-fbf-sacco.it,,,4.8,,,,,,,,,,Lombardia Open Data,Regione Lombardia - Elenco delle strutture sanitarie accreditate
